symbol,as_of_date,coverage_status,quality_status,readiness_status,coverage_score,quality_score,readiness_score,contract_count,expiration_count,distinct_strike_count,quote_data_observed,provider_capability_limited,coverage_reasons,quality_reasons,readiness_reasons,informational_notes
DHR,2026-07-20,FAILED,REVIEW,FAILED,0.594333,1.0,0.797167,6,3,5,False,True,contracts 6 < 10,sparse chain: contracts 6 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DIA,2026-07-20,REVIEW,READY,REVIEW,0.895648,1.0,0.947824,48,6,32,False,True,strike surface 0.673 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DIS,2026-07-20,REVIEW,READY,REVIEW,0.898795,1.0,0.949398,24,4,14,False,True,call/put balance 0.667 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DLR,2026-07-20,FAILED,REVIEW,FAILED,0.535,1.0,0.7675,5,3,5,False,True,contracts 5 < 10,sparse chain: contracts 5 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DLTR,2026-07-20,FAILED,REVIEW,FAILED,0.538,1.0,0.769,2,2,2,False,True,contracts 2 < 10,sparse chain: contracts 2 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DOC,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DOV,2026-07-20,FAILED,REVIEW,FAILED,0.388,1.0,0.694,2,2,1,False,True,contracts 2 < 10 | overall score 0.388 < 0.450,sparse chain: contracts 2 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DOW,2026-07-20,REVIEW,READY,REVIEW,0.728258,1.0,0.864129,11,3,7,False,True,contracts 11 < 20 | strike surface 0.681 < 0.700 | overall score 0.728 < 0.750,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DPZ,2026-07-20,FAILED,REVIEW,FAILED,0.63,1.0,0.815,8,1,7,False,True,contracts 8 < 10,sparse chain: contracts 8 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DRI,2026-07-20,FAILED,REVIEW,FAILED,0.506,1.0,0.753,2,1,2,False,True,contracts 2 < 10,sparse chain: contracts 2 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DTE,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DUK,2026-07-20,FAILED,REVIEW,FAILED,0.638714,1.0,0.819357,7,2,4,False,True,contracts 7 < 10,sparse chain: contracts 7 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DVA,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DVN,2026-07-20,READY,READY,READY,0.882878,0.977273,0.930076,22,5,13,False,True,,,,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DXCM,2026-07-20,FAILED,REVIEW,FAILED,0.621,1.0,0.8105,4,2,3,False,True,contracts 4 < 10,sparse chain: contracts 4 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EA,2026-07-20,FAILED,REVIEW,FAILED,0.661,0.9375,0.79925,8,4,8,False,True,contracts 8 < 10,sparse chain: contracts 8 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EBAY,2026-07-20,FAILED,REVIEW,FAILED,0.504,1.0,0.752,4,3,4,False,True,contracts 4 < 10,sparse chain: contracts 4 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ECHO,2026-07-20,REVIEW,READY,REVIEW,0.734469,1.0,0.867235,15,4,13,False,True,contracts 15 < 20 | call/put balance 0.400 < 0.700 | strike surface 0.665 < 0.700 | overall score 0.734 < 0.750,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ECL,2026-07-20,FAILED,REVIEW,FAILED,0.569,1.0,0.7845,4,1,3,False,True,contracts 4 < 10,sparse chain: contracts 4 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ED,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EEM,2026-07-20,READY,READY,READY,0.914583,0.989362,0.951972,47,5,29,False,True,,,,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EFA,2026-07-20,REVIEW,READY,REVIEW,0.875551,0.962264,0.918907,53,7,28,False,True,call/put balance 0.642 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EFX,2026-07-20,FAILED,REVIEW,FAILED,0.296,1.0,0.648,2,1,2,False,True,contracts 2 < 10 | overall score 0.296 < 0.450,sparse chain: contracts 2 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EG,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EIX,2026-07-20,FAILED,REVIEW,FAILED,0.484,1.0,0.742,3,1,3,False,True,contracts 3 < 10,sparse chain: contracts 3 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EL,2026-07-20,FAILED,REVIEW,FAILED,0.5495,1.0,0.77475,3,2,3,False,True,contracts 3 < 10,sparse chain: contracts 3 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ELV,2026-07-20,FAILED,REVIEW,FAILED,0.618357,1.0,0.809179,7,2,6,False,True,contracts 7 < 10,sparse chain: contracts 7 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EME,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EMR,2026-07-20,REVIEW,READY,REVIEW,0.695,1.0,0.8475,10,4,8,False,True,contracts 10 < 20 | strike surface 0.583 < 0.700 | overall score 0.695 < 0.750,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EOG,2026-07-20,FAILED,REVIEW,FAILED,0.614333,1.0,0.807167,6,3,5,False,True,contracts 6 < 10,sparse chain: contracts 6 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EQIX,2026-07-20,FAILED,REVIEW,FAILED,0.5425,1.0,0.77125,5,2,5,False,True,contracts 5 < 10,sparse chain: contracts 5 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EQR,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EQT,2026-07-20,REVIEW,READY,REVIEW,0.698908,1.0,0.849454,13,5,8,False,True,contracts 13 < 20 | call/put balance 0.615 < 0.700 | strike surface 0.539 < 0.700 | overall score 0.699 < 0.750,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ERIE,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ES,2026-07-20,FAILED,REVIEW,FAILED,0.473,1.0,0.7365,2,1,1,False,True,contracts 2 < 10,sparse chain: contracts 2 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ESS,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ETHA,2026-07-20,READY,READY,READY,0.921639,0.955224,0.938431,67,6,27,False,True,,,,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ETN,2026-07-20,FAILED,REVIEW,FAILED,0.504,1.0,0.752,4,3,4,False,True,contracts 4 < 10,sparse chain: contracts 4 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ETR,2026-07-20,FAILED,REVIEW,FAILED,0.484,1.0,0.742,3,1,3,False,True,contracts 3 < 10,sparse chain: contracts 3 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EVRG,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EW,2026-07-20,FAILED,REVIEW,FAILED,0.451,1.0,0.7255,4,2,4,False,True,contracts 4 < 10,sparse chain: contracts 4 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EWJ,2026-07-20,FAILED,REVIEW,FAILED,0.661214,1.0,0.830607,7,2,7,False,True,contracts 7 < 10,sparse chain: contracts 7 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EWZ,2026-07-20,REVIEW,READY,REVIEW,0.88169,1.0,0.940845,46,6,27,False,True,call/put balance 0.696 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EXC,2026-07-20,FAILED,REVIEW,FAILED,0.296,1.0,0.648,2,1,2,False,True,contracts 2 < 10 | overall score 0.296 < 0.450,sparse chain: contracts 2 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EXE,2026-07-20,FAILED,REVIEW,FAILED,0.698071,1.0,0.849036,7,2,5,False,True,contracts 7 < 10,sparse chain: contracts 7 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EXPD,2026-07-20,FAILED,REVIEW,FAILED,0.484,1.0,0.742,3,1,3,False,True,contracts 3 < 10,sparse chain: contracts 3 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EXPE,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EXR,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
F,2026-07-20,READY,READY,READY,0.9039,0.988095,0.945998,42,6,15,False,True,,,,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FANG,2026-07-20,FAILED,REVIEW,FAILED,0.5195,1.0,0.75975,3,2,3,False,True,contracts 3 < 10,sparse chain: contracts 3 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FAST,2026-07-20,FAILED,REVIEW,FAILED,0.451,1.0,0.7255,4,2,3,False,True,contracts 4 < 10,sparse chain: contracts 4 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FBTC,2026-07-20,FAILED,REVIEW,FAILED,0.388,1.0,0.694,2,2,2,False,True,contracts 2 < 10 | overall score 0.388 < 0.450,sparse chain: contracts 2 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FCX,2026-07-20,REVIEW,READY,REVIEW,0.882098,1.0,0.941049,19,4,11,False,True,contracts 19 < 20,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FDS,2026-07-20,FAILED,REVIEW,FAILED,0.506,1.0,0.753,2,1,2,False,True,contracts 2 < 10,sparse chain: contracts 2 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FDX,2026-07-20,FAILED,REVIEW,FAILED,0.599,1.0,0.7995,4,3,4,False,True,contracts 4 < 10,sparse chain: contracts 4 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FDXF,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FE,2026-07-20,FAILED,REVIEW,FAILED,0.5495,1.0,0.77475,3,2,3,False,True,contracts 3 < 10,sparse chain: contracts 3 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FER,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FFIV,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FICO,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FIS,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FISV,2026-07-20,FAILED,REVIEW,FAILED,0.722583,1.0,0.861291,9,4,5,False,True,contracts 9 < 10,sparse chain: contracts 9 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FITB,2026-07-20,FAILED,REVIEW,FAILED,0.6525,1.0,0.82625,5,2,3,False,True,contracts 5 < 10,sparse chain: contracts 5 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FIX,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FLEX,2026-07-20,FAILED,REVIEW,FAILED,0.59875,1.0,0.799375,8,1,8,False,True,contracts 8 < 10,sparse chain: contracts 8 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FOX,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FOXA,2026-07-20,FAILED,REVIEW,FAILED,0.4195,1.0,0.70975,3,2,2,False,True,contracts 3 < 10 | overall score 0.419 < 0.450,sparse chain: contracts 3 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FRT,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FSLR,2026-07-20,REVIEW,READY,REVIEW,0.829446,1.0,0.914723,17,4,13,False,True,contracts 17 < 20 | strike surface 0.670 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FTNT,2026-07-20,FAILED,REVIEW,FAILED,0.504,1.0,0.752,4,3,4,False,True,contracts 4 < 10,sparse chain: contracts 4 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FTV,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
FXI,2026-07-20,READY,READY,READY,0.940304,0.970588,0.955446,34,4,20,False,True,,,,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
GD,2026-07-20,FAILED,REVIEW,FAILED,0.515,1.0,0.7575,5,3,5,False,True,contracts 5 < 10,sparse chain: contracts 5 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
GDDY,2026-07-20,FAILED,REVIEW,FAILED,0.568,1.0,0.784,4,4,4,False,True,contracts 4 < 10,sparse chain: contracts 4 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
GDX,2026-07-20,REVIEW,READY,REVIEW,0.855705,0.958333,0.907019,48,5,26,False,True,strike surface 0.665 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
GDXJ,2026-07-20,REVIEW,READY,REVIEW,0.865623,0.972222,0.918923,18,4,18,False,True,contracts 18 < 20,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
GE,2026-07-20,REVIEW,READY,REVIEW,0.798875,1.0,0.899438,14,4,14,False,True,contracts 14 < 20 | strike surface 0.630 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
GEHC,2026-07-20,REVIEW,READY,REVIEW,0.6425,1.0,0.82125,10,4,7,False,True,contracts 10 < 20 | call/put balance 0.400 < 0.700 | strike surface 0.608 < 0.700 | overall score 0.642 < 0.750,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
GEN,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
GEV,2026-07-20,REVIEW,READY,REVIEW,0.736792,1.0,0.868396,11,3,10,False,True,contracts 11 < 20 | strike surface 0.618 < 0.700 | overall score 0.737 < 0.750,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
GILD,2026-07-20,FAILED,REVIEW,FAILED,0.56125,1.0,0.780625,5,4,5,False,True,contracts 5 < 10,sparse chain: contracts 5 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
GIS,2026-07-20,FAILED,REVIEW,FAILED,0.717,0.9375,0.82725,8,2,5,False,True,contracts 8 < 10,sparse chain: contracts 8 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
GL,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
GLD,2026-07-20,REVIEW,READY,REVIEW,0.891224,0.962366,0.926795,93,8,57,False,True,strike surface 0.697 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
GLW,2026-07-20,REVIEW,READY,REVIEW,0.888269,1.0,0.944134,42,5,25,False,True,strike surface 0.699 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
GM,2026-07-20,READY,READY,READY,0.945117,1.0,0.972558,26,3,17,False,True,,,,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
GNRC,2026-07-20,REVIEW,READY,REVIEW,0.6295,1.0,0.81475,10,4,8,False,True,contracts 10 < 20 | call/put balance 0.400 < 0.700 | strike surface 0.565 < 0.700 | overall score 0.629 < 0.750,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
GOOG,2026-07-20,REVIEW,READY,REVIEW,0.880394,0.98913,0.934762,92,6,38,False,True,call/put balance 0.696 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
GOOGL,2026-07-20,REVIEW,READY,REVIEW,0.860651,0.986395,0.923523,147,8,48,False,True,call/put balance 0.653 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
GPC,2026-07-20,FAILED,REVIEW,FAILED,0.5775,1.0,0.78875,7,1,6,False,True,contracts 7 < 10,sparse chain: contracts 7 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
GPN,2026-07-20,FAILED,REVIEW,FAILED,0.644,1.0,0.822,6,2,5,False,True,contracts 6 < 10,sparse chain: contracts 6 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
GRMN,2026-07-20,FAILED,FAILED,FAILED,0.0,0.0,0.0,0,0,0,False,True,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,coverage profile missing | coverage governance failed | quality governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
