symbol,quote_date,governance_status,quote_observation_status,spread_observation_status,overall_quality_score,contract_count,quoted_contracts,traded_contracts,liquid_contracts,valid_spread_contracts,crossed_market_contracts,locked_market_contracts,negative_market_value_contracts,iv_available_contracts,delta_available_contracts,full_greeks_contracts,quote_completeness_score,trade_completeness_score,liquidity_score,spread_integrity_score,iv_completeness_score,greeks_completeness_score,average_spread_pct,median_spread_pct,maximum_spread_pct,governance_reasons,informational_notes
CF,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,11,0,11,11,0,0,0,0,11,11,11,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CFG,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,4,0,4,4,0,0,0,0,4,4,4,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 4 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CHD,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CHRW,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,2,0,2,2,0,0,0,0,2,2,2,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 2 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CHTR,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,8,0,8,8,0,0,0,0,8,8,8,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 8 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CI,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,5,0,5,5,0,0,0,0,5,5,5,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 5 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CIBR,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CIEN,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,6,0,6,6,0,0,0,0,6,6,6,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 6 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CINF,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,2,0,2,2,0,0,0,0,2,2,2,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 2 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CL,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,7,0,7,7,0,0,0,0,7,7,7,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 7 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CLX,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,10,0,10,10,0,0,0,0,10,10,10,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CMCSA,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.975,20,0,20,20,0,0,0,0,19,19,19,0.0,1.0,1.0,0.0,0.95,0.95,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CME,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,5,0,5,5,0,0,0,0,5,5,5,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 5 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CMG,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.983333,30,0,30,30,0,0,0,0,29,29,29,0.0,1.0,1.0,0.0,0.966667,0.966667,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CMI,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CMS,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CNC,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,0.916667,6,0,6,6,0,0,0,0,5,5,5,0.0,1.0,1.0,0.0,0.833333,0.833333,,,,sparse chain: contracts 6 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CNP,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
COF,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.95,10,0,10,10,0,0,0,0,9,9,9,0.0,1.0,1.0,0.0,0.9,0.9,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
COHR,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,19,0,19,19,0,0,0,0,19,19,19,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
COIN,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.987013,77,0,77,77,0,0,0,0,75,75,75,0.0,1.0,1.0,0.0,0.974026,0.974026,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
COO,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
COP,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.928571,21,0,21,21,0,0,0,0,18,18,18,0.0,1.0,1.0,0.0,0.857143,0.857143,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
COR,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
COST,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,45,0,45,45,0,0,0,0,45,45,45,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CPAY,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CPRT,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,7,0,7,7,0,0,0,0,7,7,7,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 7 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CPT,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CRH,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,7,0,7,7,0,0,0,0,7,7,7,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 7 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CRL,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CRM,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.989362,47,0,47,47,0,0,0,0,46,46,46,0.0,1.0,1.0,0.0,0.978723,0.978723,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CRWD,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,59,0,59,59,0,0,0,0,59,59,59,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CRWV,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,98,0,98,98,0,0,0,0,98,98,98,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CSCO,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.97619,21,0,21,21,0,0,0,0,20,20,20,0.0,1.0,1.0,0.0,0.952381,0.952381,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CSGP,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,4,0,4,4,0,0,0,0,4,4,4,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 4 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CSX,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,3,0,3,3,0,0,0,0,3,3,3,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 3 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CTAS,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,3,0,3,3,0,0,0,0,3,3,3,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 3 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CTSH,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,4,0,4,4,0,0,0,0,4,4,4,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 4 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CTVA,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,2,0,2,2,0,0,0,0,2,2,2,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 2 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CVNA,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,26,0,26,26,0,0,0,0,26,26,26,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CVS,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,12,0,12,12,0,0,0,0,12,12,12,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
CVX,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.987179,39,0,39,39,0,0,0,0,38,38,38,0.0,1.0,1.0,0.0,0.974359,0.974359,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
D,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,2,0,2,2,0,0,0,0,2,2,2,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 2 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DAL,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,15,0,15,15,0,0,0,0,15,15,15,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DASH,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,11,0,11,11,0,0,0,0,11,11,11,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DBA,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DD,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.5,1,0,1,1,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,,,,IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DDOG,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,14,0,14,14,0,0,0,0,14,14,14,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DE,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,5,0,5,5,0,0,0,0,5,5,5,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 5 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DECK,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,2,0,2,2,0,0,0,0,2,2,2,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 2 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DELL,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.965116,43,0,43,43,0,0,0,0,40,40,40,0.0,1.0,1.0,0.0,0.930233,0.930233,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DG,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,4,0,4,4,0,0,0,0,4,4,4,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 4 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DGX,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DHI,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,5,0,5,5,0,0,0,0,5,5,5,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 5 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DHR,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,6,0,6,6,0,0,0,0,6,6,6,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 6 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DIA,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,48,0,48,48,0,0,0,0,48,48,48,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DIS,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,24,0,24,24,0,0,0,0,24,24,24,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DLR,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,5,0,5,5,0,0,0,0,5,5,5,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 5 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DLTR,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,2,0,2,2,0,0,0,0,2,2,2,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 2 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DOC,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DOV,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,2,0,2,2,0,0,0,0,2,2,2,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 2 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DOW,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,11,0,11,11,0,0,0,0,11,11,11,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DPZ,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,8,0,8,8,0,0,0,0,8,8,8,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 8 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DRI,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,2,0,2,2,0,0,0,0,2,2,2,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 2 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DTE,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DUK,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,7,0,7,7,0,0,0,0,7,7,7,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 7 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DVA,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DVN,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.977273,22,0,22,22,0,0,0,0,21,21,21,0.0,1.0,1.0,0.0,0.954545,0.954545,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
DXCM,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,4,0,4,4,0,0,0,0,4,4,4,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 4 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EA,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,0.9375,8,0,8,8,0,0,0,0,7,7,7,0.0,1.0,1.0,0.0,0.875,0.875,,,,sparse chain: contracts 8 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EBAY,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,4,0,4,4,0,0,0,0,4,4,4,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 4 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ECHO,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,15,0,15,15,0,0,0,0,15,15,15,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ECL,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,4,0,4,4,0,0,0,0,4,4,4,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 4 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ED,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EEM,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.989362,47,0,47,47,0,0,0,0,46,46,46,0.0,1.0,1.0,0.0,0.978723,0.978723,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EFA,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.962264,53,0,53,53,0,0,0,0,49,49,49,0.0,1.0,1.0,0.0,0.924528,0.924528,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EFX,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,2,0,2,2,0,0,0,0,2,2,2,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 2 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EG,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EIX,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,3,0,3,3,0,0,0,0,3,3,3,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 3 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EL,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,3,0,3,3,0,0,0,0,3,3,3,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 3 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ELV,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,7,0,7,7,0,0,0,0,7,7,7,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 7 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EME,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EMR,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,10,0,10,10,0,0,0,0,10,10,10,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EOG,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,6,0,6,6,0,0,0,0,6,6,6,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 6 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EQIX,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,5,0,5,5,0,0,0,0,5,5,5,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 5 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EQR,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EQT,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,13,0,13,13,0,0,0,0,13,13,13,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ERIE,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ES,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,2,0,2,2,0,0,0,0,2,2,2,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 2 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ESS,2026-07-20,FAILED,NOT_OBSERVED,NOT_OBSERVED,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no option contracts | liquidity 0.000 < 0.200 | IV completeness 0.000 < 0.400 | Greeks completeness 0.000 < 0.350 | overall quality 0.000 < 0.420,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ETHA,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,0.955224,67,0,67,67,0,0,0,0,61,61,61,0.0,1.0,1.0,0.0,0.910448,0.910448,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ETN,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,4,0,4,4,0,0,0,0,4,4,4,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 4 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ETR,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,3,0,3,3,0,0,0,0,3,3,3,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 3 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EVRG,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,1,0,1,1,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 1 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EW,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,4,0,4,4,0,0,0,0,4,4,4,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 4 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EWJ,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,7,0,7,7,0,0,0,0,7,7,7,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 7 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EWZ,2026-07-20,READY,NOT_OBSERVED,NOT_OBSERVED,1.0,46,0,46,46,0,0,0,0,46,46,46,0.0,1.0,1.0,0.0,1.0,1.0,,,,,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
EXC,2026-07-20,REVIEW,NOT_OBSERVED,NOT_OBSERVED,1.0,2,0,2,2,0,0,0,0,2,2,2,0.0,1.0,1.0,0.0,1.0,1.0,,,,sparse chain: contracts 2 < 10,NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
